Number of nodes: 17
Number of edges: 35
Number of CESs: 33
Number of events: 172
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	select deposit, enter deposit amount, put money, get balance, select deposit
3	select deposit, enter deposit amount, put money, get balance, select withdraw
1	enter deposit amount, put money, get balance, select deposit, enter deposit amount
2	enter deposit amount, put money, get balance, select withdraw, enter withdraw amount
1	enter deposit amount, put money, get balance, select withdraw, cancel withdraw
3	get balance, select deposit, enter deposit amount, put money, get balance
1	select withdraw, enter withdraw amount, take money, get balance, select deposit
2	select withdraw, enter withdraw amount, take money, get balance, select withdraw
4	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
5	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	select withdraw, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess, cancel withdraw
3	enter withdraw amount, take money, get balance, select deposit, enter deposit amount
2	enter withdraw amount, take money, get balance, select withdraw, enter withdraw amount
1	enter withdraw amount, take money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money, get balance
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
3	take money, get balance, select deposit, enter deposit amount, put money
1	take money, get balance, select withdraw, enter withdraw amount, take money
1	take money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess
1	put money, get balance, select deposit, enter deposit amount, put money
1	put money, get balance, select withdraw, enter withdraw amount, take money
1	put money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess
4	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money, get balance
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
2	confirm daily limit excess, enter withdraw amount, take money, get balance, select deposit
1	confirm daily limit excess, enter withdraw amount, take money, get balance, select withdraw
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess, cancel withdraw
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	enter overdraft limit, enter overdraft limit, enter overdraft limit, enter overdraft limit, enter overdraft limit
0	Number of uncovered edges 
