Number of nodes: 13
Number of edges: 25
Number of CESs: 13
Number of events: 85
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
2	get balance, select withdraw
11	select withdraw, enter withdraw amount
6	enter withdraw amount, take money
3	take money, get balance
2	select deposit, cancel deposit
1	select withdraw, cancel withdraw
14	enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, cancel withdraw
11	confirm daily limit excess, enter withdraw amount
5	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
