Number of nodes: 15
Number of edges: 31
Number of CESs: 17
Number of events: 92
Number of uncovered edges: 10
Coverage: 65.51724137931035
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount, put money
4	select deposit, enter deposit amount, put money, get balance
2	enter deposit amount, put money, get balance, select deposit
1	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
1	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
0	get balance, select withdraw, enter withdraw amount, take money
2	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
3	select withdraw, enter withdraw amount, take money, get balance
0	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
2	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
3	select withdraw, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
3	enter withdraw amount, take money, get balance, select deposit
1	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
0	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
0	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
0	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	enter overdraft limit, enter overdraft limit, enter overdraft limit, enter overdraft limit
10	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select deposit, cancel deposit
put money, get balance, select withdraw, cancel withdraw
get balance, select withdraw, enter withdraw amount, take money
select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, cancel withdraw
confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
confirm daily limit excess, enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
enter overdraft limit, enter overdraft limit, enter overdraft limit, enter overdraft limit
