Number of nodes: 14
Number of edges: 23
Number of CESs: 12
Number of events: 61
Number of uncovered edges: 4
Coverage: 75.0
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount, put money
4	select deposit, enter deposit amount, put money, get balance
2	enter deposit amount, put money, get balance, select deposit
1	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
1	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
3	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
1	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
4	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select deposit, cancel deposit
put money, get balance, select withdraw, cancel withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, cancel withdraw
