Number of nodes: 16
Number of edges: 26
Number of CESs: 9
Number of events: 31
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
1	get balance, select withdraw
2	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
2	select deposit, cancel deposit
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
0	Number of uncovered edges 
