Number of nodes: 17
Number of edges: 28
Number of CESs: 14
Number of events: 61
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
6	select deposit, enter deposit amount, put money
5	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
3	put money, get balance, select withdraw
3	get balance, select withdraw, enter withdraw amount
2	get balance, select withdraw, cancel withdraw
5	select withdraw, enter withdraw amount, take money
3	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
0	Number of uncovered edges 
