Number of nodes: 19
Number of edges: 35
Number of CESs: 27
Number of events: 143
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount, put money
9	select deposit, enter deposit amount, put money, get balance
2	enter deposit amount, put money, get balance, select deposit
6	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
1	put money, get balance, select deposit, cancel deposit
5	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
5	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
5	select withdraw, enter withdraw amount, take money, get balance
2	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
5	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	enter withdraw amount, take money, get balance, select deposit
3	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
2	take money, get balance, select withdraw, cancel withdraw
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
