Number of nodes: 13
Number of edges: 21
Number of CESs: 8
Number of events: 32
Number of uncovered edges: 6
Coverage: 57.142857142857146
Number of coverage	Edge
1	get balance, select deposit, enter deposit amount, put money
2	select deposit, enter deposit amount, put money, get balance
0	enter deposit amount, put money, get balance, select deposit
2	enter deposit amount, put money, get balance, select withdraw
0	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
2	put money, get balance, select withdraw, enter withdraw amount
2	get balance, select withdraw, enter withdraw amount, take money
2	select withdraw, enter withdraw amount, take money, get balance
1	enter withdraw amount, take money, get balance, select deposit
0	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
0	take money, get balance, select withdraw, enter withdraw amount
6	Number of uncovered edges 
Uncovered edges: 
enter deposit amount, put money, get balance, select deposit
put money, get balance, select deposit, enter deposit amount
put money, get balance, select deposit, cancel deposit
enter withdraw amount, take money, get balance, select withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, enter withdraw amount
