Number of nodes: 14
Number of edges: 23
Number of CESs: 11
Number of events: 113
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
6	get balance, select deposit
10	select deposit, enter deposit amount
9	enter deposit amount, put money
9	put money, get balance
8	get balance, select withdraw
9	select withdraw, enter withdraw amount
8	enter withdraw amount, take money
5	take money, get balance
3	select deposit, cancel deposit
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
3	select withdraw, cancel withdraw
0	Number of uncovered edges 
