Number of nodes: 16
Number of edges: 30
Number of CESs: 13
Number of events: 44
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
1	get balance, select withdraw
5	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
2	select deposit, cancel deposit
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
1	select withdraw, cancel withdraw
4	enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
