Number of nodes: 16
Number of edges: 26
Number of CESs: 11
Number of events: 100
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
6	get balance, select deposit
8	select deposit, enter deposit amount
7	enter deposit amount, put money
5	put money, get balance
4	get balance, select withdraw
6	select withdraw, enter withdraw amount
5	enter withdraw amount, take money
3	take money, get balance
2	select deposit, cancel deposit
6	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
2	select withdraw, cancel withdraw
3	confirm interest rate approved, enter days left
4	enter days left, get estimated interest for days left
0	Number of uncovered edges 
