Number of nodes: 16
Number of edges: 26
Number of CESs: 18
Number of events: 187
Number of uncovered edges: 4
Coverage: 76.47058823529412
Number of coverage	Edge
4	get balance, select deposit, enter deposit amount, put money
5	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
1	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
1	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
7	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
2	enter withdraw amount, take money, get balance, select withdraw
2	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
1	request an interest rate, confirm interest rate approved, enter days left, get estimated interest for days left
4	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select deposit, cancel deposit
put money, get balance, select withdraw, cancel withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, cancel withdraw
