Number of nodes: 16
Number of edges: 26
Number of CESs: 8
Number of events: 29
Number of uncovered edges: 9
Coverage: 47.05882352941176
Number of coverage	Edge
0	get balance, select deposit, enter deposit amount, put money
1	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
0	enter deposit amount, put money, get balance, select withdraw
0	put money, get balance, select deposit, enter deposit amount
1	put money, get balance, select deposit, cancel deposit
0	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
1	get balance, select withdraw, enter withdraw amount, take money
1	select withdraw, enter withdraw amount, take money, get balance
0	enter withdraw amount, take money, get balance, select deposit
1	enter withdraw amount, take money, get balance, select withdraw
0	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
1	request an interest rate, confirm interest rate approved, enter days left, get estimated interest for days left
9	Number of uncovered edges 
Uncovered edges: 
get balance, select deposit, enter deposit amount, put money
enter deposit amount, put money, get balance, select withdraw
put money, get balance, select deposit, enter deposit amount
put money, get balance, select withdraw, enter withdraw amount
put money, get balance, select withdraw, cancel withdraw
enter withdraw amount, take money, get balance, select deposit
take money, get balance, select deposit, enter deposit amount
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, cancel withdraw
