Number of nodes: 13
Number of edges: 21
Number of CESs: 8
Number of events: 42
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
3	select deposit, enter deposit amount
3	enter deposit amount, put money
2	put money, get balance
5	get balance, select withdraw
4	select withdraw, enter withdraw amount
4	enter withdraw amount, take money
2	take money, get balance
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
4	select withdraw, cancel withdraw
0	Number of uncovered edges 
