Number of nodes: 15
Number of edges: 28
Number of CESs: 16
Number of events: 167
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit
11	select deposit, enter deposit amount
11	enter deposit amount, put money
14	put money, get balance
12	get balance, select withdraw
14	select withdraw, enter withdraw amount
10	enter withdraw amount, take money
6	take money, get balance
3	enter a credit amount, confirm credit approved
3	enter a credit amount, confirm credit disapproved
3	select withdraw, cancel withdraw
9	enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, cancel withdraw
7	confirm daily limit excess, enter withdraw amount
5	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
