Number of nodes: 15
Number of edges: 28
Number of CESs: 13
Number of events: 85
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
3	select deposit, enter deposit amount
3	enter deposit amount, put money
1	put money, get balance
2	get balance, select withdraw
10	select withdraw, enter withdraw amount
7	enter withdraw amount, take money
3	take money, get balance
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
1	select withdraw, cancel withdraw
12	enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, cancel withdraw
10	confirm daily limit excess, enter withdraw amount
5	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
