Number of nodes: 13
Number of edges: 21
Number of CESs: 10
Number of events: 87
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount
5	select deposit, enter deposit amount, put money
2	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
1	put money, get balance, select withdraw
3	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
6	select withdraw, enter withdraw amount, take money
3	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
2	take money, get balance, select withdraw
0	Number of uncovered edges 
