Number of nodes: 13
Number of edges: 21
Number of CESs: 10
Number of events: 35
Number of uncovered edges: 6
Coverage: 57.142857142857146
Number of coverage	Edge
1	get balance, select deposit, enter deposit amount, put money
2	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
0	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
1	get balance, select withdraw, enter withdraw amount, take money
2	select withdraw, enter withdraw amount, take money, get balance
0	enter withdraw amount, take money, get balance, select deposit
1	enter withdraw amount, take money, get balance, select withdraw
0	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
6	Number of uncovered edges 
Uncovered edges: 
enter deposit amount, put money, get balance, select withdraw
put money, get balance, select withdraw, enter withdraw amount
put money, get balance, select withdraw, cancel withdraw
enter withdraw amount, take money, get balance, select deposit
take money, get balance, select deposit, enter deposit amount
take money, get balance, select withdraw, cancel withdraw
