Number of nodes: 15
Number of edges: 28
Number of CESs: 17
Number of events: 60
Number of uncovered edges: 9
Coverage: 60.869565217391305
Number of coverage	Edge
1	get balance, select deposit, enter deposit amount, put money
2	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
0	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
0	get balance, select withdraw, enter withdraw amount, take money
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
1	select withdraw, enter withdraw amount, take money, get balance
2	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
2	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
0	enter withdraw amount, take money, get balance, select deposit
1	enter withdraw amount, take money, get balance, select withdraw
0	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, take money, get balance
0	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
0	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
9	Number of uncovered edges 
Uncovered edges: 
enter deposit amount, put money, get balance, select withdraw
put money, get balance, select withdraw, enter withdraw amount
put money, get balance, select withdraw, cancel withdraw
get balance, select withdraw, enter withdraw amount, take money
enter withdraw amount, take money, get balance, select deposit
take money, get balance, select deposit, enter deposit amount
take money, get balance, select withdraw, cancel withdraw
confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
