Number of nodes: 17
Number of edges: 34
Number of CESs: 25
Number of events: 204
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount
8	select deposit, enter deposit amount, put money
4	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
3	put money, get balance, select withdraw
7	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
8	select withdraw, enter withdraw amount, take money
7	select withdraw, enter withdraw amount, confirm daily limit excess
6	enter withdraw amount, take money, get balance
2	take money, get balance, select deposit
4	take money, get balance, select withdraw
1	enter withdraw amount, confirm daily limit excess, cancel withdraw
6	enter withdraw amount, confirm daily limit excess, enter withdraw amount
3	enter withdraw amount, confirm daily limit excess, confirm overdraft limit excess
1	confirm daily limit excess, enter withdraw amount, take money
5	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
4	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
2	confirm daily limit excess, confirm overdraft limit excess, cancel withdraw
4	enter overdraft limit, enter overdraft limit, enter overdraft limit
0	Number of uncovered edges 
