Transformation,Generation,Composition,Total
70.730801,117.1349,6.318599,194.1843
63.7942,79.0754,2.3374,145.207
68.2506,78.790299,3.1368,150.17769900000002
79.529899,73.4999,2.686901,155.7167
83.9525,101.260301,1.914601,187.12740200000002
50.3093,56.8267,2.7815,109.91749999999999
93.854301,86.6548,2.6101,183.11920099999998
89.4482,106.706599,3.107499,199.262298
60.3263,65.1462,2.1718,127.6443
59.096601,99.102601,2.927801,161.127003
213.4101,289.9938,8.3846,511.7885
252.7449,248.2835,3.7168,504.7452
175.4827,247.7941,3.1399,426.4167
252.5558,228.7214,4.8714,486.1486
154.3426,240.7534,3.682,398.778
276.9343,234.8856,6.1059,517.9258
226.773,212.9115,4.725,444.4095
242.0883,236.0418,4.7662,482.8963
210.8167,223.7385,4.8601,439.4153
195.2719,200.3987,4.982,400.6526
243.58,210.0613,3.4172,457.0585
