Number of nodes: 17
Number of edges: 14
Number of CESs: 17
Number of events: 69
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
9	select deposit, enter deposit amount, put money
4	enter deposit amount, put money, get balance
3	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
5	select withdraw, enter withdraw amount, take money
2	enter withdraw amount, take money, get balance
2	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
2	put money, get balance, select deposit
2	put money, get balance, select withdraw
1	request an interest rate, confirm interest rate approved, enter days left
1	confirm interest rate approved, enter days left, get estimated interest for days left
0	Number of uncovered edges 
