Number of nodes: 17
Number of edges: 16
Number of CESs: 9
Number of events: 29
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	get balance, select deposit
2	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	get balance, select withdraw
1	take money, get balance
1	put money, get balance
1	select deposit, cancel deposit
1	select withdraw, cancel withdraw
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
1	request an interest rate, confirm interest rate approved
1	request an interest rate, confirm interest rate disapproved
1	enter days left, get estimated interest for days left
1	confirm interest rate approved, enter days left
0	Number of uncovered edges 
