Number of nodes: 19
Number of edges: 43
Number of CESs: 67
Number of events: 399
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	select deposit, enter deposit amount, put money, get balance, select deposit, enter deposit amount
1	select deposit, enter deposit amount, put money, get balance, select deposit, cancel deposit
9	select deposit, enter deposit amount, put money, get balance, select withdraw, enter withdraw amount
2	select deposit, enter deposit amount, put money, get balance, select withdraw, cancel withdraw
4	enter deposit amount, put money, get balance, select deposit, enter deposit amount, put money
6	enter deposit amount, put money, get balance, select withdraw, enter withdraw amount, take money
3	enter deposit amount, put money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess
1	get balance, select deposit, enter deposit amount, put money, get balance, select deposit
1	get balance, select deposit, enter deposit amount, put money, get balance, select withdraw
10	select withdraw, enter withdraw amount, take money, get balance, select deposit, enter deposit amount
2	select withdraw, enter withdraw amount, take money, get balance, select deposit, cancel deposit
8	select withdraw, enter withdraw amount, take money, get balance, select withdraw, enter withdraw amount
2	select withdraw, enter withdraw amount, take money, get balance, select withdraw, cancel withdraw
3	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money, get balance
3	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
11	enter withdraw amount, take money, get balance, select deposit, enter deposit amount, put money
6	enter withdraw amount, take money, get balance, select withdraw, enter withdraw amount, take money
3	enter withdraw amount, take money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess
6	get balance, select withdraw, enter withdraw amount, take money, get balance, select deposit
1	get balance, select withdraw, enter withdraw amount, take money, get balance, select withdraw
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
1	get balance, select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
5	take money, get balance, select deposit, enter deposit amount, put money, get balance
4	take money, get balance, select withdraw, enter withdraw amount, take money, get balance
1	take money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	take money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
2	put money, get balance, select deposit, enter deposit amount, put money, get balance
4	put money, get balance, select withdraw, enter withdraw amount, take money, get balance
1	put money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	put money, get balance, select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money, get balance, select deposit
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money, get balance, select withdraw
1	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, take money, get balance, select deposit, enter deposit amount
1	confirm daily limit excess, enter withdraw amount, take money, get balance, select deposit, cancel deposit
1	confirm daily limit excess, enter withdraw amount, take money, get balance, select withdraw, enter withdraw amount
1	confirm daily limit excess, enter withdraw amount, take money, get balance, select withdraw, cancel withdraw
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
