Number of nodes: 11
Number of edges: 18
Number of CESs: 9
Number of events: 113
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
9	get balance, select deposit
11	select deposit, enter deposit amount
10	enter deposit amount, put money
7	put money, get balance
8	get balance, select withdraw
10	select withdraw, enter withdraw amount
8	enter withdraw amount, take money
6	take money, get balance
4	select deposit, cancel deposit
2	select withdraw, cancel withdraw
0	Number of uncovered edges 
