Number of nodes: 11
Number of edges: 18
Number of CESs: 7
Number of events: 37
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit
5	select deposit, enter deposit amount
5	enter deposit amount, put money
2	put money, get balance
1	get balance, select withdraw
3	select withdraw, enter withdraw amount
3	enter withdraw amount, take money
2	take money, get balance
2	select deposit, cancel deposit
1	select withdraw, cancel withdraw
0	Number of uncovered edges 
