Number of nodes: 13
Number of edges: 25
Number of CESs: 18
Number of events: 177
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
9	select deposit, enter deposit amount, put money
6	enter deposit amount, put money, get balance
2	put money, get balance, select deposit
4	put money, get balance, select withdraw
6	get balance, select withdraw, enter withdraw amount
2	get balance, select withdraw, cancel withdraw
7	select withdraw, enter withdraw amount, take money
5	select withdraw, enter withdraw amount, confirm daily limit excess
5	enter withdraw amount, take money, get balance
2	take money, get balance, select deposit
3	take money, get balance, select withdraw
2	enter withdraw amount, confirm daily limit excess, cancel withdraw
5	enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	confirm daily limit excess, enter withdraw amount, take money
3	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
