Number of nodes: 13
Number of edges: 25
Number of CESs: 13
Number of events: 84
Number of uncovered edges: 1
Coverage: 94.44444444444444
Number of coverage	Edge
0	get balance, select deposit, enter deposit amount
2	get balance, select deposit, cancel deposit
3	select deposit, enter deposit amount, put money
2	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
1	put money, get balance, select withdraw
3	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
4	select withdraw, enter withdraw amount, take money
3	select withdraw, enter withdraw amount, confirm daily limit excess
4	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
3	take money, get balance, select withdraw
1	enter withdraw amount, confirm daily limit excess, cancel withdraw
4	enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	confirm daily limit excess, enter withdraw amount, take money
3	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	Number of uncovered edges 
Uncovered edges: 
get balance, select deposit, enter deposit amount
