Number of nodes: 13
Number of edges: 21
Number of CESs: 17
Number of events: 200
Number of uncovered edges: 4
Coverage: 71.42857142857143
Number of coverage	Edge
5	get balance, select deposit, enter deposit amount, put money
9	select deposit, enter deposit amount, put money, get balance
3	enter deposit amount, put money, get balance, select deposit
2	enter deposit amount, put money, get balance, select withdraw
2	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
2	put money, get balance, select withdraw, enter withdraw amount
2	get balance, select withdraw, enter withdraw amount, take money
6	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
0	enter withdraw amount, take money, get balance, select withdraw
2	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
0	take money, get balance, select withdraw, enter withdraw amount
4	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select deposit, cancel deposit
enter withdraw amount, take money, get balance, select withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, enter withdraw amount
