Number of nodes: 14
Number of edges: 23
Number of CESs: 11
Number of events: 109
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
9	get balance, select deposit
11	select deposit, enter deposit amount
10	enter deposit amount, put money
7	put money, get balance
6	get balance, select withdraw
8	select withdraw, enter withdraw amount
6	enter withdraw amount, take money
4	take money, get balance
4	select deposit, cancel deposit
2	enter a credit amount, confirm credit approved
2	enter a credit amount, confirm credit disapproved
2	select withdraw, cancel withdraw
0	Number of uncovered edges 
