Number of nodes: 16
Number of edges: 30
Number of CESs: 15
Number of events: 88
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
7	select deposit, enter deposit amount
7	enter deposit amount, put money
6	put money, get balance
6	get balance, select withdraw
8	select withdraw, enter withdraw amount
5	enter withdraw amount, take money
2	take money, get balance
2	select deposit, cancel deposit
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
2	select withdraw, cancel withdraw
6	enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, cancel withdraw
4	confirm daily limit excess, enter withdraw amount
5	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
