Number of nodes: 17
Number of edges: 28
Number of CESs: 21
Number of events: 193
Number of uncovered edges: 4
Coverage: 75.0
Number of coverage	Edge
4	get balance, select deposit, enter deposit amount, put money
6	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
1	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
1	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
8	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
2	enter withdraw amount, take money, get balance, select withdraw
2	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
4	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select deposit, cancel deposit
put money, get balance, select withdraw, cancel withdraw
take money, get balance, select deposit, cancel deposit
take money, get balance, select withdraw, cancel withdraw
