Number of nodes: 19
Number of edges: 35
Number of CESs: 22
Number of events: 157
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount
1	get balance, select deposit, cancel deposit
7	select deposit, enter deposit amount, put money
3	enter deposit amount, put money, get balance
2	put money, get balance, select deposit
1	put money, get balance, select withdraw
4	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
7	select withdraw, enter withdraw amount, take money
4	select withdraw, enter withdraw amount, confirm daily limit excess
5	enter withdraw amount, take money, get balance
2	take money, get balance, select deposit
3	take money, get balance, select withdraw
1	enter withdraw amount, confirm daily limit excess, cancel withdraw
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	confirm daily limit excess, enter withdraw amount, take money
2	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
4	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
