Number of nodes: 18
Number of edges: 29
Number of CESs: 12
Number of events: 108
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
6	get balance, select deposit
8	select deposit, enter deposit amount
7	enter deposit amount, put money
5	put money, get balance
4	get balance, select withdraw
6	select withdraw, enter withdraw amount
6	enter withdraw amount, take money
4	take money, get balance
2	select deposit, cancel deposit
2	enter a credit amount, confirm credit approved
2	enter a credit amount, confirm credit disapproved
6	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
3	confirm interest rate approved, enter days left
4	enter days left, get estimated interest for days left
0	Number of uncovered edges 
