Number of nodes: 18
Number of edges: 29
Number of CESs: 10
Number of events: 41
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
1	get balance, select withdraw
2	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
1	select deposit, cancel deposit
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
4	request an interest rate, confirm interest rate approved
1	request an interest rate, confirm interest rate disapproved
3	confirm interest rate approved, enter days left
4	enter days left, get estimated interest for days left
0	Number of uncovered edges 
