Number of nodes: 14
Number of edges: 23
Number of CESs: 10
Number of events: 39
Number of uncovered edges: 8
Coverage: 50.0
Number of coverage	Edge
0	get balance, select deposit, enter deposit amount, put money
3	select deposit, enter deposit amount, put money, get balance
0	enter deposit amount, put money, get balance, select deposit
3	enter deposit amount, put money, get balance, select withdraw
0	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
2	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
2	select withdraw, enter withdraw amount, take money, get balance
1	enter withdraw amount, take money, get balance, select deposit
0	enter withdraw amount, take money, get balance, select withdraw
0	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select deposit, cancel deposit
0	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
8	Number of uncovered edges 
Uncovered edges: 
get balance, select deposit, enter deposit amount, put money
enter deposit amount, put money, get balance, select deposit
put money, get balance, select deposit, enter deposit amount
put money, get balance, select deposit, cancel deposit
enter withdraw amount, take money, get balance, select withdraw
take money, get balance, select deposit, enter deposit amount
take money, get balance, select withdraw, enter withdraw amount
take money, get balance, select withdraw, cancel withdraw
