Number of nodes: 18
Number of edges: 36
Number of CESs: 17
Number of events: 59
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
3	select deposit, enter deposit amount
3	enter deposit amount, put money
2	put money, get balance
2	get balance, select withdraw
6	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
2	select deposit, cancel deposit
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
2	select withdraw, cancel withdraw
5	enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit
2	confirm daily limit excess, confirm overdraft limit excess
1	enter overdraft limit, enter overdraft limit
1	confirm overdraft limit excess, cancel withdraw
0	Number of uncovered edges 
