Number of nodes: 15
Number of edges: 24
Number of CESs: 7
Number of events: 27
Number of uncovered edges: 7
Coverage: 53.333333333333336
Number of coverage	Edge
0	get balance, select deposit, enter deposit amount, put money
1	select deposit, enter deposit amount, put money, get balance
0	enter deposit amount, put money, get balance, select deposit
1	enter deposit amount, put money, get balance, select withdraw
0	put money, get balance, select deposit, enter deposit amount
0	put money, get balance, select deposit, cancel deposit
1	put money, get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, enter withdraw amount, take money
1	select withdraw, enter withdraw amount, take money, get balance
1	enter withdraw amount, take money, get balance, select deposit
0	enter withdraw amount, take money, get balance, select withdraw
0	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select deposit, cancel deposit
0	take money, get balance, select withdraw, enter withdraw amount
1	request an interest rate, confirm interest rate approved, enter days left, get estimated interest for days left
7	Number of uncovered edges 
Uncovered edges: 
get balance, select deposit, enter deposit amount, put money
enter deposit amount, put money, get balance, select deposit
put money, get balance, select deposit, enter deposit amount
put money, get balance, select deposit, cancel deposit
enter withdraw amount, take money, get balance, select withdraw
take money, get balance, select deposit, enter deposit amount
take money, get balance, select withdraw, enter withdraw amount
