Number of nodes: 10
Number of edges: 16
Number of CESs: 15
Number of events: 196
Number of uncovered edges: 4
Coverage: 71.42857142857143
Number of coverage	Edge
5	get balance, select deposit, enter deposit amount, put money
9	select deposit, enter deposit amount, put money, get balance
3	enter deposit amount, put money, get balance, select deposit
2	enter deposit amount, put money, get balance, select withdraw
2	put money, get balance, select deposit, enter deposit amount
2	put money, get balance, select withdraw, enter withdraw amount
0	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
6	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
0	enter withdraw amount, take money, get balance, select withdraw
2	take money, get balance, select deposit, enter deposit amount
0	take money, get balance, select withdraw, enter withdraw amount
0	take money, get balance, select withdraw, cancel withdraw
4	Number of uncovered edges 
Uncovered edges: 
put money, get balance, select withdraw, cancel withdraw
enter withdraw amount, take money, get balance, select withdraw
take money, get balance, select withdraw, enter withdraw amount
take money, get balance, select withdraw, cancel withdraw
