Number of nodes: 13
Number of edges: 21
Number of CESs: 9
Number of events: 99
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit
10	select deposit, enter deposit amount
9	enter deposit amount, put money
9	put money, get balance
9	get balance, select withdraw
7	select withdraw, enter withdraw amount
6	enter withdraw amount, take money
3	take money, get balance
2	enter a credit amount, confirm credit approved
2	enter a credit amount, confirm credit disapproved
4	select withdraw, cancel withdraw
0	Number of uncovered edges 
