Number of nodes: 15
Number of edges: 28
Number of CESs: 32
Number of events: 336
Number of uncovered edges: 1
Coverage: 95.65217391304348
Number of coverage	Edge
6	get balance, select deposit, enter deposit amount, put money
9	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
5	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
4	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
4	get balance, select withdraw, enter withdraw amount, take money
0	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
11	select withdraw, enter withdraw amount, take money, get balance
1	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
7	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	enter withdraw amount, take money, get balance, select deposit
5	enter withdraw amount, take money, get balance, select withdraw
3	take money, get balance, select deposit, enter deposit amount
3	take money, get balance, select withdraw, enter withdraw amount
1	take money, get balance, select withdraw, cancel withdraw
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
6	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
3	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	Number of uncovered edges 
Uncovered edges: 
get balance, select withdraw, enter withdraw amount, confirm daily limit excess
