Number of nodes: 15
Number of edges: 28
Number of CESs: 16
Number of events: 105
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	get balance, select deposit, enter deposit amount
4	select deposit, enter deposit amount, put money
2	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
1	put money, get balance, select withdraw
4	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
5	select withdraw, enter withdraw amount, take money
6	select withdraw, enter withdraw amount, confirm daily limit excess
5	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
4	take money, get balance, select withdraw
2	enter withdraw amount, confirm daily limit excess, cancel withdraw
6	enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	confirm daily limit excess, enter withdraw amount, take money
4	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
