Number of nodes: 18
Number of edges: 33
Number of CESs: 22
Number of events: 100
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount, put money
5	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
2	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
1	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
1	get balance, select withdraw, enter withdraw amount, take money
2	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
3	select withdraw, enter withdraw amount, take money, get balance
1	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
4	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	enter withdraw amount, take money, get balance, select deposit
2	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select withdraw, enter withdraw amount
1	take money, get balance, select withdraw, cancel withdraw
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
