Number of nodes: 17
Number of edges: 31
Number of CESs: 29
Number of events: 300
Number of uncovered edges: 1
Coverage: 95.83333333333333
Number of coverage	Edge
6	get balance, select deposit, enter deposit amount, put money
9	select deposit, enter deposit amount, put money, get balance
1	enter deposit amount, put money, get balance, select deposit
5	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
4	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
2	get balance, select withdraw, enter withdraw amount, take money
0	get balance, select withdraw, enter withdraw amount, confirm daily limit excess
8	select withdraw, enter withdraw amount, take money, get balance
1	select withdraw, enter withdraw amount, confirm daily limit excess, cancel withdraw
6	select withdraw, enter withdraw amount, confirm daily limit excess, enter withdraw amount
2	enter withdraw amount, take money, get balance, select deposit
3	enter withdraw amount, take money, get balance, select withdraw
3	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select withdraw, enter withdraw amount
1	take money, get balance, select withdraw, cancel withdraw
1	request an interest rate, confirm interest rate approved, enter days left, get estimated interest for days left
3	enter withdraw amount, confirm daily limit excess, enter withdraw amount, take money
5	enter withdraw amount, confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, enter withdraw amount, take money, get balance
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, cancel withdraw
3	confirm daily limit excess, enter withdraw amount, confirm daily limit excess, enter withdraw amount
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	Number of uncovered edges 
Uncovered edges: 
get balance, select withdraw, enter withdraw amount, confirm daily limit excess
