Number of nodes: 17
Number of edges: 31
Number of CESs: 11
Number of events: 48
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
1	get balance, select withdraw
4	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
4	request an interest rate, confirm interest rate approved
1	request an interest rate, confirm interest rate disapproved
1	select withdraw, cancel withdraw
3	enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit
3	confirm interest rate approved, enter days left
4	enter days left, get estimated interest for days left
0	Number of uncovered edges 
