Number of nodes: 17
Number of edges: 34
Number of CESs: 19
Number of events: 147
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit
8	select deposit, enter deposit amount
8	enter deposit amount, put money
8	put money, get balance
6	get balance, select withdraw
14	select withdraw, enter withdraw amount
6	enter withdraw amount, take money
3	take money, get balance
2	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
3	select withdraw, cancel withdraw
7	enter withdraw amount, confirm daily limit excess
2	confirm daily limit excess, cancel withdraw
3	confirm daily limit excess, enter withdraw amount
6	enter daily withdraw limit, enter daily withdraw limit
3	confirm daily limit excess, confirm overdraft limit excess
6	enter overdraft limit, enter overdraft limit
2	confirm overdraft limit excess, cancel withdraw
0	Number of uncovered edges 
