Number of nodes: 15
Number of edges: 24
Number of CESs: 10
Number of events: 100
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit
6	select deposit, enter deposit amount
6	enter deposit amount, put money
4	put money, get balance
6	get balance, select withdraw
8	select withdraw, enter withdraw amount
7	enter withdraw amount, take money
5	take money, get balance
6	request an interest rate, confirm interest rate approved
2	request an interest rate, confirm interest rate disapproved
2	select withdraw, cancel withdraw
3	confirm interest rate approved, enter days left
4	enter days left, get estimated interest for days left
0	Number of uncovered edges 
