Scneario,From,To,Increment,INCSM(ms),INCFUL(ms)
1,baseProduct,interest,interest,1.28,0.45
2,baseProduct,cancelDeposit,cancelDeposit,,
3,baseProduct,cancelWithdraw,cancelWithdraw,,
4,baseProduct,credit,credit,,
5,interest,interest_interestEstimation,interestEstimation,1.28,0.27
6,interest,cancelDeposit_interest,cancelDeposit,,
7,interest,interest_cancelWithdraw,cancelWithdraw,,
8,cancelDeposit,cancelDeposit_interest,interest,,
9,cancelDeposit,cancelDeposit_cancelWithdraw,cancelWithdraw,,
10,cancelDeposit,cancelDeposit_credit,credit,,
11,cancelWithdraw,interest_cancelWithdraw,interest,,
12,cancelWithdraw,cancelWithdraw_dailyLimit,dailyLimit,,
13,cancelWithdraw,cancelDeposit_cancelWithdraw,cancelDeposit,,
14,cancelWithdraw,credit_cancelWithdraw,credit,,
15,credit,credit_interest,interest,,
16,credit,cancelDeposit_credit,credit,,
17,credit,credit_cancelWithdraw,cancelWithdraw,,
