Number of nodes: 5
Number of edges: 14
Number of CESs: 7
Number of events: 56
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	push button to call elevator, wait leaving people, enter elevator, press target floor button
1	wait leaving people, enter elevator, press target floor button, leave elevator
1	wait leaving people, enter elevator, press target floor button, press target floor button
1	push button to call elevator, enter elevator, press target floor button, leave elevator
2	push button to call elevator, enter elevator, press target floor button, press target floor button
1	enter elevator, press target floor button, press target floor button, leave elevator
3	enter elevator, press target floor button, press target floor button, press target floor button
3	press target floor button, press target floor button, press target floor button, leave elevator
3	press target floor button, press target floor button, press target floor button, press target floor button
2	push button to call elevator, push button to call elevator, wait leaving people, enter elevator
3	push button to call elevator, push button to call elevator, enter elevator, press target floor button
2	push button to call elevator, push button to call elevator, push button to call elevator, wait leaving people
2	push button to call elevator, push button to call elevator, push button to call elevator, enter elevator
4	push button to call elevator, push button to call elevator, push button to call elevator, push button to call elevator
0	Number of uncovered edges 
