Number of nodes: 8
Number of edges: 11
Number of CESs: 4
Number of events: 24
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	press target floor button, leave elevator
1	push button to call elevator, wait leaving people
1	wait leaving people, enter elevator
3	push button to call elevator, enter elevator
1	press target floor button, press target floor button
3	push button to call elevator, push button to call elevator
2	enter elevator, trigger sensor with increasing weight
1	trigger sensor with increasing weight, press target floor button
1	leave elevator, trigger sensor with decreasing weight
1	trigger sensor with increasing weight, hear overloaded alarm
1	hear overloaded alarm, leave elevator
0	Number of uncovered edges 
