Number of nodes: 10
Number of edges: 19
Number of CESs: 15
Number of events: 94
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject
2	enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email body, enter email body
1	enter email subject, enter email body, enter email subject
1	compose new email, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, sign mail
1	enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, sign mail
1	compose new email, enter email subject, enter email body
1	compose new email, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter email subject
5	enter email subject, enter receiver's email address, send email
2	enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter receiver's email address, sign mail
2	compose new email, enter email body, enter receiver's email address
1	compose new email, enter email body, enter email body
4	compose new email, enter email body, enter email subject
1	enter email body, enter receiver's email address, enter email subject
2	enter email body, enter receiver's email address, send email
1	enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, sign mail
1	enter email subject, enter email subject, enter email body
4	enter email subject, enter email subject, enter receiver's email address
3	enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email body
1	enter email body, enter email body, enter email subject
1	enter email body, enter email subject, enter email body
2	enter email body, enter email subject, enter receiver's email address
3	enter email body, enter email subject, enter email subject
4	enter receiver's email address, sign mail, send email
0	Number of uncovered edges 
