Number of nodes: 15
Number of edges: 28
Number of CESs: 70
Number of events: 810
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body
4	enter receiver's email address, enter email subject, enter email body, enter email subject
10	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
22	enter receiver's email address, enter email subject, enter receiver's email address, send email
8	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter email subject, enter email body
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
9	enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address, enter email subject
1	enter email subject, enter email body, enter receiver's email address, send email
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email body, enter email body, enter receiver's email address
5	enter email subject, enter email body, enter email body, enter email body
1	enter email subject, enter email body, enter email body, enter email subject
13	enter email subject, enter email body, enter email subject, enter email body
7	enter email subject, enter email body, enter email subject, enter receiver's email address
8	enter email subject, enter email body, enter email subject, enter email subject
3	compose new email, enter receiver's email address, enter email subject, enter email body
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address
2	compose new email, enter receiver's email address, enter email subject, enter email subject
3	compose new email, enter receiver's email address, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter receiver's email address, get alias email addresses of receiver, send email
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body
6	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
3	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
15	enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
26	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
4	compose new email, enter email subject, enter email body, enter receiver's email address
2	compose new email, enter email subject, enter email body, enter email body
3	compose new email, enter email subject, enter email body, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter receiver's email address, send email
3	compose new email, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, get alias email addresses of receiver
2	compose new email, enter email subject, enter email subject, enter email body
3	compose new email, enter email subject, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject, enter email subject
1	enter email subject, enter receiver's email address, enter email subject, enter email body
32	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
7	enter email subject, enter receiver's email address, enter email subject, enter email subject
1	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email subject, enter receiver's email address, enter receiver's email address, send email
10	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter receiver's email address, get alias email addresses of receiver, send email
2	compose new email, enter email body, enter receiver's email address, enter email subject
1	compose new email, enter email body, enter receiver's email address, send email
4	compose new email, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email body, enter receiver's email address, get alias email addresses of receiver
4	compose new email, enter email body, enter email body, enter receiver's email address
4	compose new email, enter email body, enter email body, enter email body
2	compose new email, enter email body, enter email body, enter email subject
4	compose new email, enter email body, enter email subject, enter email body
3	compose new email, enter email body, enter email subject, enter receiver's email address
3	compose new email, enter email body, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter email subject, enter email body
3	enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, send email
8	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter receiver's email address, get alias email addresses of receiver, send email
1	enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter email body
6	enter email subject, enter email subject, enter email body, enter email subject
18	enter email subject, enter email subject, enter receiver's email address, enter email subject
1	enter email subject, enter email subject, enter receiver's email address, send email
1	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email subject, enter receiver's email address, get alias email addresses of receiver
4	enter email subject, enter email subject, enter email subject, enter email body
16	enter email subject, enter email subject, enter email subject, enter receiver's email address
24	enter email subject, enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter email subject
1	enter email body, enter email body, enter receiver's email address, send email
2	enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter receiver's email address, get alias email addresses of receiver
3	enter email body, enter email body, enter email body, enter receiver's email address
5	enter email body, enter email body, enter email body, enter email body
6	enter email body, enter email body, enter email body, enter email subject
6	enter email body, enter email body, enter email subject, enter email body
2	enter email body, enter email body, enter email subject, enter receiver's email address
1	enter email body, enter email body, enter email subject, enter email subject
5	enter email body, enter email subject, enter email body, enter receiver's email address
3	enter email body, enter email subject, enter email body, enter email body
16	enter email body, enter email subject, enter email body, enter email subject
9	enter email body, enter email subject, enter receiver's email address, enter email subject
1	enter email body, enter email subject, enter receiver's email address, send email
1	enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email subject, enter email subject, enter email body
1	enter email body, enter email subject, enter email subject, enter receiver's email address
10	enter email body, enter email subject, enter email subject, enter email subject
1	enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body
1	enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval
0	Number of uncovered edges 
