Number of nodes: 17
Number of edges: 31
Number of CESs: 82
Number of events: 985
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email body, enter email body
4	enter receiver's email address, enter email subject, enter email body, enter email subject
13	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
23	enter receiver's email address, enter email subject, enter receiver's email address, send email
9	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter email subject, enter email subject, enter email body
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
13	enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address, enter email subject
1	enter email subject, enter email body, enter receiver's email address, send email
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email body, enter receiver's email address, get receiver's public key
1	enter email subject, enter email body, enter email body, enter receiver's email address
6	enter email subject, enter email body, enter email body, enter email body
1	enter email subject, enter email body, enter email body, enter email subject
15	enter email subject, enter email body, enter email subject, enter email body
9	enter email subject, enter email body, enter email subject, enter receiver's email address
8	enter email subject, enter email body, enter email subject, enter email subject
3	compose new email, enter receiver's email address, enter email subject, enter email body
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address
2	compose new email, enter receiver's email address, enter email subject, enter email subject
2	compose new email, enter receiver's email address, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter receiver's email address, get alias email addresses of receiver, send email
1	compose new email, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body
6	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
4	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
13	enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
22	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
2	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
5	compose new email, enter email subject, enter email body, enter receiver's email address
2	compose new email, enter email subject, enter email body, enter email body
1	compose new email, enter email subject, enter email body, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter receiver's email address, send email
4	compose new email, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email subject, enter receiver's email address, get receiver's public key
2	compose new email, enter email subject, enter email subject, enter email body
5	compose new email, enter email subject, enter email subject, enter receiver's email address
3	compose new email, enter email subject, enter email subject, enter email subject
1	enter email subject, enter receiver's email address, enter email subject, enter email body
36	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
11	enter email subject, enter receiver's email address, enter email subject, enter email subject
1	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email subject, enter receiver's email address, enter receiver's email address, send email
11	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email subject, enter receiver's email address, get alias email addresses of receiver, send email
1	enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
3	compose new email, enter email body, enter receiver's email address, enter email subject
1	compose new email, enter email body, enter receiver's email address, send email
4	compose new email, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email body, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email body, enter receiver's email address, get receiver's public key
5	compose new email, enter email body, enter email body, enter receiver's email address
7	compose new email, enter email body, enter email body, enter email body
3	compose new email, enter email body, enter email body, enter email subject
2	compose new email, enter email body, enter email subject, enter email body
4	compose new email, enter email body, enter email subject, enter receiver's email address
3	compose new email, enter email body, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter email subject, enter email body
4	enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, send email
7	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email body, enter receiver's email address, get alias email addresses of receiver, send email
1	enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter email body
9	enter email subject, enter email subject, enter email body, enter email subject
21	enter email subject, enter email subject, enter receiver's email address, enter email subject
1	enter email subject, enter email subject, enter receiver's email address, send email
2	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email subject, enter receiver's email address, get receiver's public key
7	enter email subject, enter email subject, enter email subject, enter email body
18	enter email subject, enter email subject, enter email subject, enter receiver's email address
31	enter email subject, enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter email subject
1	enter email body, enter email body, enter receiver's email address, send email
3	enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email body, enter receiver's email address, get receiver's public key
5	enter email body, enter email body, enter email body, enter receiver's email address
8	enter email body, enter email body, enter email body, enter email body
8	enter email body, enter email body, enter email body, enter email subject
8	enter email body, enter email body, enter email subject, enter email body
3	enter email body, enter email body, enter email subject, enter receiver's email address
1	enter email body, enter email body, enter email subject, enter email subject
3	enter email body, enter email subject, enter email body, enter receiver's email address
4	enter email body, enter email subject, enter email body, enter email body
19	enter email body, enter email subject, enter email body, enter email subject
12	enter email body, enter email subject, enter receiver's email address, enter email subject
1	enter email body, enter email subject, enter receiver's email address, send email
1	enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email subject, enter receiver's email address, get receiver's public key
1	enter email body, enter email subject, enter email subject, enter email body
2	enter email body, enter email subject, enter email subject, enter receiver's email address
9	enter email body, enter email subject, enter email subject, enter email subject
1	enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body
1	enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval
2	enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
0	Number of uncovered edges 
