Number of nodes: 18
Number of edges: 33
Number of CESs: 15
Number of events: 151
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
11	enter receiver's email address, enter email subject
6	enter email subject, enter email body
1	open mailbox, select email
1	compose new email, enter receiver's email address
7	enter receiver's email address, send email
8	enter receiver's email address, enter receiver's email address
4	compose new email, enter email subject
16	enter email subject, enter receiver's email address
5	compose new email, enter email body
8	enter email body, enter receiver's email address
12	enter email subject, enter email subject
3	enter email body, enter email body
7	enter email body, enter email subject
2	enter receiver's email address, get alias email addresses of receiver
3	enter the receiver's email address, enter alias email addresses of receiver
1	get alias email addresses of receiver, send email
3	create an addressbook for a receiver, enter the receiver's email address
1	enter email autoresponse date interval, enter autoresponse email body
2	enter autoresponse email body, enter email autoresponse date interval
1	encrypt mail with receiver's public key, send email
2	enter receiver's email address, get receiver's public key
2	get receiver's public key, encrypt mail with receiver's public key
2	enter receiver's email address, sign mail
1	sign mail, send email
0	Number of uncovered edges 
