Number of nodes: 14
Number of edges: 46
Number of CESs: 29
Number of events: 151
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter email subject, enter email subject
2	enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email body, enter email body
1	enter email subject, enter email body, enter email subject
1	compose new email, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter receiver's email address, sign mail
1	enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, sign mail
1	compose new email, enter email subject, enter email body
1	compose new email, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter email subject
6	enter email subject, enter receiver's email address, send email
3	enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter receiver's email address, sign mail
3	compose new email, enter email body, enter receiver's email address
1	compose new email, enter email body, enter email body
8	compose new email, enter email body, enter email subject
1	enter email body, enter receiver's email address, enter email subject
2	enter email body, enter receiver's email address, send email
1	enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter receiver's email address, sign mail
1	enter email subject, enter email subject, enter email body
7	enter email subject, enter email subject, enter receiver's email address
1	enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email body
1	enter email body, enter email body, enter email subject
1	enter email body, enter email subject, enter email body
3	enter email body, enter email subject, enter receiver's email address
6	enter email body, enter email subject, enter email subject
2	enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval
2	enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body
2	create an addressbook for a receiver, enter the receiver's email address, enter alias email addresses of receiver
4	enter receiver's email address, get alias email addresses of receiver, send email
5	enter receiver's email address, sign mail, send email
0	Number of uncovered edges 
