Number of nodes: 15
Number of edges: 26
Number of CESs: 148
Number of events: 1661
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	enter receiver's email address, enter email subject, enter email body, enter receiver's email address
3	enter receiver's email address, enter email subject, enter email body, enter email body
5	enter receiver's email address, enter email subject, enter email body, enter email subject
13	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
29	enter receiver's email address, enter email subject, enter receiver's email address, send email
13	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
2	enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
10	enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
2	enter receiver's email address, enter email subject, enter email subject, enter email body
6	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
10	enter receiver's email address, enter email subject, enter email subject, enter email subject
2	enter email subject, enter email body, enter receiver's email address, enter email subject
4	enter email subject, enter email body, enter receiver's email address, send email
4	enter email subject, enter email body, enter receiver's email address, enter receiver's email address
2	enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email body, enter receiver's email address, get receiver's public key
5	enter email subject, enter email body, enter email body, enter receiver's email address
6	enter email subject, enter email body, enter email body, enter email body
3	enter email subject, enter email body, enter email body, enter email subject
14	enter email subject, enter email body, enter email subject, enter email body
12	enter email subject, enter email body, enter email subject, enter receiver's email address
9	enter email subject, enter email body, enter email subject, enter email subject
4	compose new email, enter receiver's email address, enter email subject, enter email body
2	compose new email, enter receiver's email address, enter email subject, enter receiver's email address
3	compose new email, enter receiver's email address, enter email subject, enter email subject
4	compose new email, enter receiver's email address, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, send email
2	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter receiver's email address, get alias email addresses of receiver, send email
1	compose new email, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email body
10	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
4	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
25	enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
40	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
3	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
4	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
2	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
6	compose new email, enter email subject, enter email body, enter receiver's email address
3	compose new email, enter email subject, enter email body, enter email body
4	compose new email, enter email subject, enter email body, enter email subject
3	compose new email, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter receiver's email address, send email
5	compose new email, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email subject, enter receiver's email address, get receiver's public key
3	compose new email, enter email subject, enter email subject, enter email body
5	compose new email, enter email subject, enter email subject, enter receiver's email address
2	compose new email, enter email subject, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter email subject, enter email body
49	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
9	enter email subject, enter receiver's email address, enter email subject, enter email subject
4	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
9	enter email subject, enter receiver's email address, enter receiver's email address, send email
19	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
4	enter email subject, enter receiver's email address, get alias email addresses of receiver, send email
1	enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
10	compose new email, enter email body, enter receiver's email address, enter email subject
1	compose new email, enter email body, enter receiver's email address, send email
9	compose new email, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email body, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email body, enter receiver's email address, get receiver's public key
9	compose new email, enter email body, enter email body, enter receiver's email address
10	compose new email, enter email body, enter email body, enter email body
30	compose new email, enter email body, enter email body, enter email subject
7	compose new email, enter email body, enter email subject, enter email body
7	compose new email, enter email body, enter email subject, enter receiver's email address
6	compose new email, enter email body, enter email subject, enter email subject
4	enter email body, enter receiver's email address, enter email subject, enter email body
7	enter email body, enter receiver's email address, enter email subject, enter receiver's email address
4	enter email body, enter receiver's email address, enter email subject, enter email subject
2	enter email body, enter receiver's email address, enter receiver's email address, enter email subject
7	enter email body, enter receiver's email address, enter receiver's email address, send email
13	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter email body, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
3	enter email body, enter receiver's email address, get alias email addresses of receiver, send email
1	enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
4	enter email subject, enter email subject, enter email body, enter receiver's email address
2	enter email subject, enter email subject, enter email body, enter email body
8	enter email subject, enter email subject, enter email body, enter email subject
23	enter email subject, enter email subject, enter receiver's email address, enter email subject
5	enter email subject, enter email subject, enter receiver's email address, send email
6	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email subject, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email subject, enter receiver's email address, get receiver's public key
5	enter email subject, enter email subject, enter email subject, enter email body
20	enter email subject, enter email subject, enter email subject, enter receiver's email address
25	enter email subject, enter email subject, enter email subject, enter email subject
2	enter email body, enter email body, enter receiver's email address, enter email subject
3	enter email body, enter email body, enter receiver's email address, send email
8	enter email body, enter email body, enter receiver's email address, enter receiver's email address
2	enter email body, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email body, enter receiver's email address, get receiver's public key
9	enter email body, enter email body, enter email body, enter receiver's email address
6	enter email body, enter email body, enter email body, enter email body
7	enter email body, enter email body, enter email body, enter email subject
14	enter email body, enter email body, enter email subject, enter email body
18	enter email body, enter email body, enter email subject, enter receiver's email address
8	enter email body, enter email body, enter email subject, enter email subject
11	enter email body, enter email subject, enter email body, enter receiver's email address
6	enter email body, enter email subject, enter email body, enter email body
19	enter email body, enter email subject, enter email body, enter email subject
20	enter email body, enter email subject, enter receiver's email address, enter email subject
2	enter email body, enter email subject, enter receiver's email address, send email
12	enter email body, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email subject, enter receiver's email address, get receiver's public key
4	enter email body, enter email subject, enter email subject, enter email body
6	enter email body, enter email subject, enter email subject, enter receiver's email address
13	enter email body, enter email subject, enter email subject, enter email subject
2	enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
0	Number of uncovered edges 
