Number of nodes: 14
Number of edges: 25
Number of CESs: 21
Number of events: 240
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	enter receiver's email address, enter email subject, enter email body
11	enter receiver's email address, enter email subject, enter receiver's email address
3	enter receiver's email address, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email body, enter email body
9	enter email subject, enter email body, enter email subject
1	open mailbox, select email, enter forward receiver's email address
3	compose new email, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, send email
2	compose new email, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, enter email subject
4	enter receiver's email address, enter receiver's email address, send email
10	enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email subject, enter email body
1	compose new email, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject
11	enter email subject, enter receiver's email address, enter email subject
7	enter email subject, enter receiver's email address, send email
2	enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter receiver's email address, get alias email addresses of receiver
2	compose new email, enter email body, enter receiver's email address
5	compose new email, enter email body, enter email body
1	compose new email, enter email body, enter email subject
1	enter email body, enter receiver's email address, enter email subject
2	enter email body, enter receiver's email address, send email
2	enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email subject, enter email body
6	enter email subject, enter email subject, enter receiver's email address
15	enter email subject, enter email subject, enter email subject
3	enter email body, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email body
3	enter email body, enter email body, enter email subject
8	enter email body, enter email subject, enter email body
3	enter email body, enter email subject, enter receiver's email address
3	enter email body, enter email subject, enter email subject
4	enter receiver's email address, get alias email addresses of receiver, send email
1	create an addressbook for a receiver, enter the receiver's email address, enter alias email addresses of receiver
1	select email, enter forward receiver's email address, send email
0	Number of uncovered edges 
