Number of nodes: 15
Number of edges: 27
Number of CESs: 12
Number of events: 130
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
10	enter receiver's email address, enter email subject
2	enter email subject, enter email body
3	open mailbox, select email
1	compose new email, enter receiver's email address
6	enter receiver's email address, send email
10	enter receiver's email address, enter receiver's email address
2	compose new email, enter email subject
14	enter email subject, enter receiver's email address
5	compose new email, enter email body
6	enter email body, enter receiver's email address
12	enter email subject, enter email subject
2	enter email body, enter email body
4	enter email body, enter email subject
2	enter receiver's email address, get alias email addresses of receiver
2	enter the receiver's email address, enter alias email addresses of receiver
1	get alias email addresses of receiver, send email
2	create an addressbook for a receiver, enter the receiver's email address
3	select email, enter forward receiver's email address
2	enter forward receiver's email address, send email
2	enter receiver's email address, sign mail
1	sign mail, send email
0	Number of uncovered edges 
