Number of nodes: 14
Number of edges: 25
Number of CESs: 16
Number of events: 149
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
7	enter receiver's email address, enter email subject
5	enter email subject, enter email body
1	open mailbox, select email
2	compose new email, enter receiver's email address
5	enter receiver's email address, send email
7	enter receiver's email address, enter receiver's email address
3	compose new email, enter email subject
11	enter email subject, enter receiver's email address
9	compose new email, enter email body
13	enter email body, enter receiver's email address
6	enter email subject, enter email subject
3	enter email body, enter email body
6	enter email body, enter email subject
3	enter receiver's email address, get alias email addresses of receiver
2	enter the receiver's email address, enter alias email addresses of receiver
2	get alias email addresses of receiver, send email
2	create an addressbook for a receiver, enter the receiver's email address
14	enter receiver's email address, sign mail
7	sign mail, send email
0	Number of uncovered edges 
