Transformation,Generation,Composition,Total
10.4092,12.6339,1.3037,24.3468
7.3288,15.7519,1.2895,24.3702
13.0097,10.937,2.0699,26.0166
10.2195,14.8865,1.2282,26.334200000000003
5.3214,17.2824,1.2752,23.878999999999998
8.9131,14.1861,1.405,24.5042
5.6321,16.1931,2.3316,24.156800000000004
4.5005,15.9146,1.7583,22.173399999999997
11.545,18.2342,1.5812,31.360400000000002
4.5346,15.739,1.7515,22.025100000000002
5.2395,15.0662,1.9819,22.2876
11.4439,20.2587,2.2148,33.9174
5.1969,12.4074,1.4965,19.100800000000003
7.8121,14.5344,1.2702,23.616699999999998
9.7601,15.8344,1.5424,27.1369
10.1437,16.2945,1.7898,28.228
