Number of nodes: 18
Number of edges: 33
Number of CESs: 97
Number of events: 1088
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter email subject, enter email body, enter receiver's email address
2	enter receiver's email address, enter email subject, enter email body, enter email body
3	enter receiver's email address, enter email subject, enter email body, enter email subject
12	enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
23	enter receiver's email address, enter email subject, enter receiver's email address, send email
9	enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter email subject, enter receiver's email address, sign mail
1	enter receiver's email address, enter email subject, enter email subject, enter email body
1	enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
11	enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter email subject, enter email body, enter receiver's email address, enter email subject
1	enter email subject, enter email body, enter receiver's email address, send email
1	enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email subject, enter email body, enter receiver's email address, get receiver's public key
1	enter email subject, enter email body, enter receiver's email address, sign mail
1	enter email subject, enter email body, enter email body, enter receiver's email address
5	enter email subject, enter email body, enter email body, enter email body
1	enter email subject, enter email body, enter email body, enter email subject
12	enter email subject, enter email body, enter email subject, enter email body
7	enter email subject, enter email body, enter email subject, enter receiver's email address
8	enter email subject, enter email body, enter email subject, enter email subject
3	compose new email, enter receiver's email address, enter email subject, enter email body
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address
3	compose new email, enter receiver's email address, enter email subject, enter email subject
2	compose new email, enter receiver's email address, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
2	compose new email, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter receiver's email address, enter receiver's email address, sign mail
1	compose new email, enter receiver's email address, get alias email addresses of receiver, send email
1	compose new email, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	compose new email, enter receiver's email address, sign mail, send email
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body
5	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
3	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
15	enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
27	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, sign mail
1	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
2	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	enter receiver's email address, enter receiver's email address, sign mail, send email
6	compose new email, enter email subject, enter email body, enter receiver's email address
2	compose new email, enter email subject, enter email body, enter email body
1	compose new email, enter email subject, enter email body, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter email subject
