Number of nodes: 16
Number of edges: 28
Number of CESs: 20
Number of events: 187
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
10	enter receiver's email address, enter email subject
13	enter email subject, enter email body
1	open mailbox, select email
5	compose new email, enter receiver's email address
8	enter receiver's email address, send email
4	enter receiver's email address, enter receiver's email address
8	compose new email, enter email subject
14	enter email subject, enter receiver's email address
5	compose new email, enter email body
14	enter email body, enter receiver's email address
8	enter email subject, enter email subject
5	enter email body, enter email body
9	enter email body, enter email subject
4	enter receiver's email address, get alias email addresses of receiver
2	enter the receiver's email address, enter alias email addresses of receiver
3	get alias email addresses of receiver, send email
2	create an addressbook for a receiver, enter the receiver's email address
4	encrypt mail with receiver's public key, send email
8	enter receiver's email address, get receiver's public key
8	get receiver's public key, encrypt mail with receiver's public key
4	enter receiver's email address, sign mail
3	sign mail, send email
0	Number of uncovered edges 
