Number of nodes: 20
Number of edges: 21
Number of CESs: 8
Number of events: 46
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
5	access as a teacher, turn editing on
6	log in, access as a teacher
1	turn editing on, open class records
1	read the access card to the card reader, read the access card to the card reader
1	submit attendance, read the access card to the card reader
1	read the access card to the card reader, confirm your identity
1	log in, open notification settings
1	open notification settings, receive notifications as Email
1	receive notifications as Email, confirm notification settings
1	open class records, select the existing schedule
2	open class records, select the existing class
1	select the existing schedule, view schedule
2	select the existing class, view class
4	turn editing on, open student attendance records
1	open student attendance records, open class records
2	open student attendance records, select a class-list attendance record
1	open student attendance records, select an editable student-record
1	select a class-list attendance record, edit attendance status
1	select an editable student-record, edit attendance status
2	edit attendance status, submit attendance record update
1	select a class-list attendance record, trace attendance activity of the class
0	Number of uncovered edges 
