Number of nodes: 29
Number of edges: 45
Number of CESs: 20
Number of events: 126
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	log in, open notification settings, receive notifications as Email
4	open class records, select the existing class, view class
4	open class records, select the existing schedule, view schedule
1	open notification settings, receive notifications as Email, confirm notification settings
2	access as a student, open my attendance records, open class records
1	access as a student, open my attendance records, select the existing record
1	access as a student, open my attendance records, monitor current attendance status
4	log in, access as a student, open my attendance records
2	log in, access as a student, open class records
1	access as a student, open class records, select the existing class
1	access as a student, open class records, select the existing schedule
1	open my attendance records, open class records, select the existing class
1	open my attendance records, open class records, select the existing schedule
11	log in, access as a teacher, turn editing on
2	access as a teacher, turn editing on, open student attendance records
2	access as a teacher, turn editing on, open class records
6	access as a teacher, turn editing on, add new schedule
1	access as a teacher, turn editing on, select the deletable class
2	turn editing on, open student attendance records, open class records
1	turn editing on, open class records, select the existing class
1	turn editing on, open class records, select the existing schedule
1	open student attendance records, open class records, select the existing class
1	open student attendance records, open class records, select the existing schedule
1	add new schedule, enter the days of the class, enter the hours of the class
1	add new schedule, enter the days of the class, submit the class schedule
1	add new schedule, enter the days of the class, enter the days of the class
1	enter the days of the class, enter the hours of the class, enter the days of the class
1	enter the days of the class, enter the hours of the class, submit the class schedule
1	enter the days of the class, enter the hours of the class, enter the hours of the class
1	add new schedule, enter the hours of the class, enter the days of the class
1	add new schedule, enter the hours of the class, submit the class schedule
1	add new schedule, enter the hours of the class, enter the hours of the class
1	enter the hours of the class, enter the days of the class, enter the hours of the class
1	enter the hours of the class, enter the days of the class, submit the class schedule
1	enter the hours of the class, enter the days of the class, enter the days of the class
1	enter the days of the class, enter the days of the class, enter the hours of the class
1	enter the days of the class, enter the days of the class, submit the class schedule
1	enter the days of the class, enter the days of the class, enter the days of the class
1	enter the hours of the class, enter the hours of the class, enter the days of the class
1	enter the hours of the class, enter the hours of the class, submit the class schedule
1	enter the hours of the class, enter the hours of the class, enter the hours of the class
3	turn editing on, add new schedule, enter the days of the class
3	turn editing on, add new schedule, enter the hours of the class
1	open my attendance records, select the existing record, view record
1	delete class, confirm deletion, select the deletable class
1	turn editing on, select the deletable class, delete class
2	select the deletable class, delete class, confirm deletion
1	confirm deletion, select the deletable class, delete class
1	show the QR code to the QR code reader, show the QR code to the QR code reader, show the QR code to the QR code reader
1	show the QR code to the QR code reader, show the QR code to the QR code reader, confirm your identity
1	submit attendance, show the QR code to the QR code reader, show the QR code to the QR code reader
1	submit attendance, show the QR code to the QR code reader, confirm your identity
0	Number of uncovered edges 
